dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,current,voltage,V_led,Iled
0,0.0,481,0.388,59,0.048,0.00388,-0.34,2.2800000000000002,0.00048
1,0.013,483,0.389,75,0.06,0.00389,-0.329,2.274,0.0006
2,0.026,486,0.392,90,0.073,0.00392,-0.319,2.2790000000000004,0.00073
3,0.039,492,0.396,107,0.086,0.00396,-0.31,2.2900000000000005,0.00086
4,0.052,495,0.399,117,0.094,0.00399,-0.305,2.3000000000000003,0.00094
5,0.065,496,0.4,135,0.109,0.004,-0.291,2.2910000000000004,0.00109
6,0.078,498,0.401,146,0.118,0.00401,-0.283,2.2880000000000003,0.0011799999999999998
7,0.091,503,0.405,160,0.129,0.00405,-0.276,2.301,0.0012900000000000001
8,0.104,509,0.41,181,0.146,0.0041,-0.264,2.314,0.00146
9,0.116,515,0.415,192,0.155,0.00415,-0.26,2.335,0.00155
10,0.129,518,0.417,208,0.168,0.00417,-0.249,2.3339999999999996,0.00168
11,0.142,525,0.423,221,0.178,0.00423,-0.245,2.36,0.00178
12,0.155,528,0.425,235,0.189,0.00425,-0.236,2.3609999999999998,0.00189
13,0.168,528,0.425,250,0.201,0.00425,-0.224,2.3489999999999998,0.00201
14,0.181,531,0.428,269,0.217,0.00428,-0.211,2.351,0.00217
15,0.194,537,0.433,281,0.226,0.00433,-0.207,2.372,0.00226
16,0.207,539,0.434,300,0.242,0.00434,-0.192,2.362,0.00242
17,0.22,544,0.438,314,0.253,0.00438,-0.185,2.375,0.00253
18,0.233,546,0.44,327,0.264,0.0044,-0.176,2.3760000000000003,0.00264
19,0.246,551,0.444,339,0.273,0.00444,-0.171,2.391,0.0027300000000000002
20,0.259,554,0.446,354,0.285,0.00446,-0.161,2.391,0.0028499999999999997
21,0.272,559,0.45,371,0.299,0.0045,-0.151,2.4010000000000002,0.00299
22,0.285,560,0.451,384,0.309,0.00451,-0.142,2.397,0.00309
23,0.298,562,0.453,400,0.322,0.00453,-0.131,2.396,0.00322
24,0.311,568,0.458,415,0.334,0.00458,-0.124,2.414,0.00334
25,0.324,571,0.46,429,0.346,0.0046,-0.114,2.414,0.0034599999999999995
26,0.336,574,0.463,442,0.356,0.00463,-0.107,2.422,0.00356
27,0.349,576,0.464,458,0.369,0.00464,-0.095,2.415,0.00369
28,0.362,579,0.467,475,0.383,0.00467,-0.084,2.419,0.00383
29,0.375,583,0.47,489,0.394,0.0047,-0.076,2.4259999999999997,0.00394
30,0.388,587,0.473,501,0.404,0.00473,-0.069,2.434,0.00404
31,0.401,592,0.477,521,0.42,0.00477,-0.057,2.442,0.0042
32,0.414,592,0.477,543,0.438,0.00477,-0.039,2.424,0.00438
33,0.427,593,0.478,555,0.447,0.00478,-0.031,2.421,0.00447
34,0.44,597,0.481,573,0.462,0.00481,-0.019,2.424,0.00462
35,0.453,603,0.486,589,0.475,0.00486,-0.011,2.441,0.00475
36,0.466,607,0.489,598,0.482,0.00489,-0.007,2.452,0.00482
37,0.479,608,0.49,618,0.498,0.0049,0.008,2.442,0.00498
38,0.492,611,0.492,629,0.507,0.00492,0.015,2.445,0.00507
39,0.505,617,0.497,643,0.518,0.00497,0.021,2.4640000000000004,0.005180000000000001
40,0.518,620,0.5,658,0.53,0.005,0.03,2.4699999999999998,0.0053
41,0.531,622,0.501,673,0.542,0.00501,0.041,2.4640000000000004,0.00542
42,0.544,624,0.503,688,0.554,0.00503,0.051,2.4639999999999995,0.005540000000000001
43,0.556,627,0.505,704,0.567,0.00505,0.062,2.463,0.00567
44,0.569,631,0.508,721,0.581,0.00508,0.073,2.467,0.005809999999999999
45,0.582,635,0.512,736,0.593,0.00512,0.081,2.479,0.0059299999999999995
46,0.595,639,0.515,751,0.605,0.00515,0.09,2.485,0.00605
47,0.608,640,0.516,766,0.617,0.00516,0.101,2.479,0.00617
48,0.621,642,0.517,782,0.63,0.00517,0.113,2.4720000000000004,0.0063
49,0.634,647,0.521,790,0.637,0.00521,0.116,2.4890000000000003,0.00637
50,0.647,647,0.521,805,0.649,0.00521,0.128,2.4770000000000003,0.00649
51,0.66,655,0.528,823,0.663,0.00528,0.135,2.505,0.0066300000000000005
52,0.673,656,0.529,841,0.678,0.00529,0.149,2.4960000000000004,0.0067800000000000004
53,0.686,657,0.529,852,0.687,0.00529,0.158,2.487,0.00687
54,0.699,661,0.533,869,0.7,0.00533,0.167,2.498,0.006999999999999999
55,0.712,665,0.536,883,0.712,0.00536,0.176,2.5040000000000004,0.00712
56,0.725,667,0.538,896,0.722,0.00538,0.184,2.5060000000000002,0.00722
57,0.738,672,0.542,912,0.735,0.00542,0.193,2.5170000000000003,0.00735
58,0.751,674,0.543,928,0.748,0.00543,0.205,2.51,0.00748
59,0.764,678,0.546,944,0.761,0.00546,0.215,2.515,0.0076100000000000004
60,0.776,679,0.547,958,0.772,0.00547,0.225,2.51,0.00772
61,0.789,685,0.552,975,0.786,0.00552,0.234,2.5260000000000002,0.00786
62,0.802,687,0.554,987,0.795,0.00554,0.241,2.5290000000000004,0.00795
63,0.815,690,0.556,1005,0.81,0.00556,0.254,2.5260000000000002,0.008100000000000001
64,0.828,691,0.557,1015,0.818,0.00557,0.261,2.5240000000000005,0.00818
65,0.841,695,0.56,1037,0.836,0.0056,0.276,2.5240000000000005,0.00836
66,0.854,698,0.562,1050,0.846,0.00562,0.284,2.5260000000000002,0.00846
67,0.867,702,0.566,1068,0.861,0.00566,0.295,2.535,0.00861
68,0.88,704,0.567,1077,0.868,0.00567,0.301,2.534,0.00868
69,0.893,707,0.57,1099,0.886,0.0057,0.316,2.534,0.00886
70,0.906,709,0.571,1109,0.894,0.00571,0.323,2.5319999999999996,0.00894
71,0.919,712,0.574,1123,0.905,0.00574,0.331,2.5389999999999997,0.00905
72,0.932,719,0.579,1138,0.917,0.00579,0.338,2.5569999999999995,0.009170000000000001
73,0.945,720,0.58,1159,0.934,0.0058,0.354,2.5459999999999994,0.009340000000000001
74,0.958,720,0.58,1171,0.944,0.0058,0.364,2.5359999999999996,0.009439999999999999
75,0.971,724,0.583,1193,0.961,0.00583,0.378,2.537,0.00961
76,0.984,726,0.585,1202,0.969,0.00585,0.384,2.541,0.009689999999999999
77,0.996,730,0.588,1216,0.98,0.00588,0.392,2.5479999999999996,0.0098
78,1.009,735,0.592,1237,0.997,0.00592,0.405,2.5549999999999997,0.00997
79,1.022,738,0.595,1251,1.008,0.00595,0.413,2.562,0.01008
80,1.035,739,0.596,1258,1.014,0.00596,0.418,2.5619999999999994,0.01014
81,1.048,742,0.598,1279,1.031,0.00598,0.433,2.5570000000000004,0.01031
82,1.061,746,0.601,1291,1.04,0.00601,0.439,2.566,0.0104
83,1.074,750,0.604,1306,1.052,0.00604,0.448,2.5719999999999996,0.01052
84,1.087,752,0.606,1322,1.065,0.00606,0.459,2.571,0.01065
85,1.1,754,0.608,1335,1.076,0.00608,0.468,2.5719999999999996,0.01076
86,1.113,755,0.608,1353,1.09,0.00608,0.482,2.558,0.0109
87,1.126,759,0.612,1369,1.103,0.00612,0.491,2.569,0.01103
88,1.139,765,0.616,1383,1.115,0.00616,0.499,2.5809999999999995,0.01115
89,1.152,768,0.619,1395,1.124,0.00619,0.505,2.59,0.011240000000000002
90,1.165,769,0.62,1415,1.14,0.0062,0.52,2.58,0.011399999999999999
91,1.178,773,0.623,1425,1.148,0.00623,0.525,2.59,0.011479999999999999
92,1.191,774,0.624,1440,1.16,0.00624,0.536,2.5839999999999996,0.0116
93,1.204,782,0.63,1458,1.175,0.0063,0.545,2.6050000000000004,0.01175
94,1.216,784,0.632,1474,1.188,0.00632,0.556,2.604,0.01188
95,1.229,785,0.633,1488,1.199,0.00633,0.566,2.599,0.01199
96,1.242,789,0.636,1510,1.217,0.00636,0.581,2.5989999999999998,0.01217
97,1.255,790,0.637,1523,1.227,0.00637,0.59,2.5949999999999998,0.012270000000000001
98,1.268,795,0.641,1535,1.237,0.00641,0.596,2.609,0.01237
99,1.281,798,0.643,1553,1.252,0.00643,0.609,2.606,0.01252
100,1.294,800,0.645,1572,1.267,0.00645,0.622,2.603,0.012669999999999999
101,1.307,805,0.649,1584,1.276,0.00649,0.627,2.6180000000000003,0.01276
102,1.32,807,0.65,1600,1.289,0.0065,0.639,2.6110000000000007,0.012889999999999999
103,1.333,809,0.652,1616,1.302,0.00652,0.65,2.61,0.01302
104,1.346,814,0.656,1627,1.311,0.00656,0.655,2.625,0.01311
105,1.359,816,0.658,1647,1.327,0.00658,0.669,2.6210000000000004,0.013269999999999999
106,1.372,817,0.658,1662,1.339,0.00658,0.681,2.6090000000000004,0.013389999999999999
107,1.385,821,0.662,1676,1.351,0.00662,0.689,2.6210000000000004,0.01351
108,1.398,823,0.663,1692,1.364,0.00663,0.701,2.614,0.013640000000000001
109,1.411,829,0.668,1708,1.376,0.00668,0.708,2.632,0.01376
110,1.424,830,0.669,1723,1.388,0.00669,0.719,2.6260000000000003,0.013879999999999998
111,1.436,834,0.672,1737,1.4,0.00672,0.728,2.632,0.013999999999999999
112,1.449,836,0.674,1750,1.41,0.00674,0.736,2.6340000000000003,0.0141
113,1.462,839,0.676,1766,1.423,0.00676,0.747,2.633,0.01423
114,1.475,841,0.678,1777,1.432,0.00678,0.754,2.6360000000000006,0.01432
115,1.488,846,0.682,1793,1.445,0.00682,0.763,2.6470000000000002,0.014450000000000001
116,1.501,848,0.683,1809,1.458,0.00683,0.775,2.6400000000000006,0.01458
117,1.514,849,0.684,1829,1.474,0.00684,0.79,2.63,0.01474
118,1.527,853,0.687,1840,1.483,0.00687,0.796,2.639,0.014830000000000001
119,1.54,855,0.689,1853,1.493,0.00689,0.804,2.640999999999999,0.01493
120,1.553,859,0.692,1870,1.507,0.00692,0.815,2.6449999999999996,0.015069999999999998
121,1.566,863,0.695,1885,1.519,0.00695,0.824,2.651,0.015189999999999999
122,1.579,865,0.697,1902,1.533,0.00697,0.836,2.6489999999999996,0.01533
123,1.592,868,0.699,1916,1.544,0.00699,0.845,2.65,0.01544
124,1.605,873,0.704,1933,1.558,0.00704,0.854,2.6660000000000004,0.01558
125,1.618,878,0.708,1941,1.564,0.00708,0.856,2.6839999999999993,0.01564
126,1.631,880,0.709,1959,1.579,0.00709,0.87,2.675,0.01579
127,1.644,880,0.709,1977,1.593,0.00709,0.884,2.6609999999999996,0.01593
128,1.656,884,0.712,2006,1.617,0.00712,0.905,2.6550000000000002,0.01617
129,1.669,891,0.718,2020,1.628,0.00718,0.91,2.6799999999999997,0.01628
130,1.682,893,0.72,2036,1.641,0.0072,0.921,2.6790000000000003,0.01641
131,1.695,896,0.722,2059,1.659,0.00722,0.937,2.673,0.01659
132,1.708,901,0.726,2071,1.669,0.00726,0.943,2.687,0.01669
133,1.721,902,0.727,2089,1.683,0.00727,0.956,2.6790000000000003,0.01683
134,1.734,905,0.729,2096,1.689,0.00729,0.96,2.6849999999999996,0.016890000000000002
135,1.747,909,0.733,2113,1.703,0.00733,0.97,2.6949999999999994,0.01703
136,1.76,910,0.733,2129,1.716,0.00733,0.983,2.6819999999999995,0.017159999999999998
137,1.773,912,0.735,2146,1.729,0.00735,0.994,2.681,0.01729
138,1.786,915,0.737,2160,1.741,0.00737,1.004,2.6809999999999996,0.017410000000000002
139,1.799,918,0.74,2177,1.754,0.0074,1.014,2.6859999999999995,0.01754
140,1.812,919,0.741,2192,1.766,0.00741,1.025,2.6799999999999997,0.01766
141,1.825,926,0.746,2208,1.779,0.00746,1.033,2.697,0.01779
142,1.838,929,0.749,2224,1.792,0.00749,1.043,2.702,0.017920000000000002
143,1.851,931,0.75,2239,1.804,0.0075,1.054,2.6959999999999997,0.01804
144,1.864,932,0.751,2247,1.811,0.00751,1.06,2.6950000000000003,0.01811
145,1.876,937,0.755,2261,1.822,0.00755,1.067,2.708,0.01822
146,1.889,939,0.757,2278,1.836,0.00757,1.079,2.7059999999999995,0.01836
147,1.902,944,0.761,2290,1.845,0.00761,1.084,2.721,0.01845
148,1.915,944,0.761,2306,1.858,0.00761,1.097,2.7079999999999997,0.01858
149,1.928,948,0.764,2322,1.871,0.00764,1.107,2.7129999999999996,0.01871
150,1.941,951,0.766,2340,1.886,0.00766,1.12,2.71,0.01886
151,1.954,955,0.77,2353,1.896,0.0077,1.126,2.724,0.018959999999999998
152,1.967,958,0.772,2368,1.908,0.00772,1.136,2.7239999999999998,0.01908
153,1.98,960,0.774,2379,1.917,0.00774,1.143,2.7270000000000003,0.01917
154,1.993,962,0.775,2398,1.932,0.00775,1.157,2.7180000000000004,0.01932
155,2.006,966,0.778,2413,1.945,0.00778,1.167,2.723,0.019450000000000002
156,2.019,971,0.782,2426,1.955,0.00782,1.173,2.737,0.01955
157,2.032,973,0.784,2441,1.967,0.00784,1.183,2.7370000000000005,0.01967
158,2.045,975,0.786,2454,1.978,0.00786,1.192,2.7380000000000004,0.01978
159,2.058,978,0.788,2475,1.995,0.00788,1.207,2.7329999999999997,0.019950000000000002
160,2.071,980,0.79,2491,2.007,0.0079,1.217,2.733,0.02007
161,2.084,981,0.791,2503,2.017,0.00791,1.226,2.7290000000000005,0.02017
162,2.096,986,0.795,2523,2.033,0.00795,1.238,2.7370000000000005,0.02033
163,2.109,991,0.799,2534,2.042,0.00799,1.243,2.7520000000000007,0.020419999999999997
164,2.122,992,0.799,2547,2.053,0.00799,1.254,2.7410000000000005,0.02053
165,2.135,995,0.802,2567,2.069,0.00802,1.267,2.7430000000000003,0.02069
166,2.148,998,0.804,2583,2.082,0.00804,1.278,2.742,0.020819999999999998
167,2.161,1003,0.808,2605,2.099,0.00808,1.291,2.7490000000000006,0.02099
168,2.174,1006,0.811,2615,2.107,0.00811,1.296,2.7590000000000003,0.021070000000000002
169,2.187,1008,0.812,2631,2.12,0.00812,1.308,2.752,0.0212
170,2.2,1009,0.813,2644,2.131,0.00813,1.318,2.7470000000000003,0.02131
171,2.213,1013,0.816,2663,2.146,0.00816,1.33,2.75,0.02146
172,2.226,1015,0.818,2675,2.156,0.00818,1.338,2.7519999999999993,0.021560000000000003
173,2.239,1018,0.82,2695,2.172,0.0082,1.352,2.7479999999999998,0.021720000000000003
174,2.252,1021,0.823,2705,2.18,0.00823,1.357,2.7579999999999996,0.0218
175,2.265,1033,0.832,2724,2.195,0.00832,1.363,2.797,0.021949999999999997
176,2.278,1031,0.831,2736,2.205,0.00831,1.374,2.7809999999999997,0.02205
177,2.291,1035,0.834,2751,2.217,0.00834,1.383,2.7869999999999995,0.022170000000000002
178,2.304,1039,0.837,2768,2.231,0.00837,1.394,2.7910000000000004,0.02231
179,2.316,1040,0.838,2783,2.243,0.00838,1.405,2.7849999999999997,0.02243
180,2.329,1042,0.84,2800,2.256,0.0084,1.416,2.7840000000000003,0.022559999999999997
181,2.342,1045,0.842,2814,2.268,0.00842,1.426,2.784,0.02268
182,2.355,1047,0.844,2827,2.278,0.00844,1.434,2.786,0.02278
183,2.368,1052,0.848,2846,2.293,0.00848,1.445,2.795,0.022930000000000002
184,2.381,1056,0.851,2864,2.308,0.00851,1.457,2.798,0.02308
185,2.394,1058,0.853,2879,2.32,0.00853,1.467,2.7980000000000005,0.0232
186,2.407,1062,0.856,2895,2.333,0.00856,1.477,2.803,0.023330000000000004
187,2.42,1065,0.858,2907,2.343,0.00858,1.485,2.8049999999999997,0.02343
188,2.433,1070,0.862,2929,2.36,0.00862,1.498,2.812,0.0236
189,2.446,1071,0.863,2942,2.371,0.00863,1.508,2.807,0.02371
190,2.459,1073,0.865,2960,2.385,0.00865,1.52,2.8049999999999997,0.023849999999999996
191,2.472,1075,0.866,2974,2.397,0.00866,1.531,2.799,0.023969999999999998
192,2.485,1077,0.868,2987,2.407,0.00868,1.539,2.801,0.02407
193,2.498,1082,0.872,3002,2.419,0.00872,1.547,2.813,0.02419
194,2.511,1083,0.873,3023,2.436,0.00873,1.563,2.8019999999999996,0.02436
195,2.524,1087,0.876,3035,2.446,0.00876,1.57,2.81,0.024460000000000003
196,2.536,1088,0.877,3056,2.463,0.00877,1.586,2.7990000000000004,0.02463
197,2.549,1091,0.879,3071,2.475,0.00879,1.596,2.799,0.02475
198,2.562,1094,0.882,3092,2.492,0.00882,1.61,2.8,0.02492
199,2.575,1099,0.886,3113,2.509,0.00886,1.623,2.807,0.025089999999999998
200,2.588,1102,0.888,3127,2.52,0.00888,1.632,2.8080000000000003,0.0252
201,2.601,1104,0.89,3146,2.535,0.0089,1.645,2.8049999999999997,0.02535
202,2.614,1104,0.89,3162,2.548,0.0089,1.658,2.792,0.02548
203,2.627,1106,0.891,3183,2.565,0.00891,1.674,2.781,0.02565
204,2.64,1109,0.894,3201,2.58,0.00894,1.686,2.784,0.0258
205,2.653,1115,0.899,3216,2.592,0.00899,1.693,2.802,0.025920000000000002
206,2.666,1118,0.901,3241,2.612,0.00901,1.711,2.7940000000000005,0.02612
207,2.679,1121,0.903,3259,2.626,0.00903,1.723,2.7920000000000003,0.02626
208,2.692,1123,0.905,3273,2.638,0.00905,1.733,2.792,0.02638
209,2.705,1125,0.907,3294,2.655,0.00907,1.748,2.7870000000000004,0.026549999999999997
210,2.718,1131,0.911,3312,2.669,0.00911,1.758,2.797,0.026690000000000002
211,2.731,1133,0.913,3335,2.688,0.00913,1.775,2.7899999999999996,0.02688
212,2.744,1136,0.915,3355,2.704,0.00915,1.789,2.786,0.02704
213,2.756,1136,0.915,3377,2.721,0.00915,1.806,2.769,0.02721
214,2.769,1139,0.918,3395,2.736,0.00918,1.818,2.772,0.027360000000000002
215,2.782,1143,0.921,3422,2.758,0.00921,1.837,2.768,0.02758
216,2.795,1145,0.923,3440,2.772,0.00923,1.849,2.7660000000000005,0.027719999999999998
217,2.808,1148,0.925,3462,2.79,0.00925,1.865,2.7600000000000007,0.0279
218,2.821,1151,0.928,3485,2.808,0.00928,1.88,2.7600000000000007,0.028079999999999997
219,2.834,1154,0.93,3506,2.825,0.0093,1.895,2.755,0.02825
220,2.847,1157,0.932,3531,2.845,0.00932,1.913,2.7470000000000003,0.028450000000000003
221,2.86,1158,0.933,3552,2.862,0.00933,1.929,2.7360000000000007,0.02862
222,2.873,1162,0.936,3568,2.875,0.00936,1.939,2.7410000000000005,0.02875
223,2.886,1166,0.94,3610,2.909,0.0094,1.969,2.731,0.029089999999999998
224,2.899,1168,0.941,3637,2.931,0.00941,1.99,2.715,0.02931
225,2.912,1170,0.943,3658,2.948,0.00943,2.005,2.7099999999999995,0.02948
226,2.925,1173,0.945,3682,2.967,0.00945,2.022,2.703,0.029670000000000002
227,2.938,1178,0.949,3703,2.984,0.00949,2.035,2.71,0.02984
228,2.951,1181,0.952,3734,3.009,0.00952,2.057,2.703,0.03009
229,2.964,1183,0.953,3760,3.03,0.00953,2.077,2.688,0.030299999999999997
230,2.976,1187,0.957,3784,3.049,0.00957,2.092,2.693,0.03049
231,2.989,1190,0.959,3808,3.069,0.00959,2.11,2.6849999999999996,0.03069
232,3.002,1195,0.963,3831,3.087,0.00963,2.124,2.6909999999999994,0.03087
233,3.015,1197,0.965,3865,3.115,0.00965,2.15,2.675,0.03115
234,3.028,1199,0.966,3894,3.138,0.00966,2.172,2.6579999999999995,0.03138
235,3.041,1200,0.967,3919,3.158,0.00967,2.191,2.6439999999999997,0.03158
236,3.054,1201,0.968,3949,3.182,0.00968,2.214,2.626,0.03182
237,3.067,1205,0.971,3978,3.206,0.00971,2.235,2.6199999999999997,0.03206
238,3.08,1209,0.974,4006,3.228,0.00974,2.254,2.615999999999999,0.03228
239,3.093,1211,0.976,4037,3.253,0.00976,2.277,2.6029999999999998,0.03253
240,3.106,1214,0.978,4055,3.268,0.00978,2.29,2.6000000000000005,0.03268
241,3.119,1216,0.98,4083,3.29,0.0098,2.31,2.59,0.0329
242,3.132,1218,0.982,4095,3.3,0.00982,2.318,2.5919999999999996,0.033
243,3.145,1222,0.985,4095,3.3,0.00985,2.315,2.6100000000000003,0.033
244,3.158,1227,0.989,4095,3.3,0.00989,2.311,2.6340000000000003,0.033
245,3.171,1229,0.99,4095,3.3,0.0099,2.31,2.6399999999999997,0.033
246,3.184,1232,0.993,4095,3.3,0.00993,2.307,2.6580000000000004,0.033
247,3.196,1233,0.994,4095,3.3,0.00994,2.306,2.6640000000000006,0.033
248,3.209,1235,0.995,4095,3.3,0.00995,2.305,2.67,0.033
249,3.222,1239,0.998,4095,3.3,0.00998,2.302,2.6879999999999997,0.033
250,3.235,1242,1.001,4095,3.3,0.01001,2.299,2.7059999999999995,0.033
251,3.248,1245,1.003,4095,3.3,0.01003,2.297,2.717999999999999,0.033
252,3.261,1249,1.007,4095,3.3,0.01007,2.293,2.742,0.033
253,3.274,1250,1.007,4095,3.3,0.01007,2.293,2.742,0.033
254,3.287,1253,1.01,4095,3.3,0.0101,2.29,2.7600000000000007,0.033
255,3.3,1255,1.011,4095,3.3,0.01011,2.289,2.765999999999999,0.033
