dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,current,voltage
0,0,481,0.388,59,0.048,0.00388,-0.34
1,0.013,483,0.389,75,0.06,0.00389,-0.329
2,0.026,486,0.392,90,0.073,0.00392,-0.319
3,0.039,492,0.396,107,0.086,0.00396,-0.31
4,0.052,495,0.399,117,0.094,0.00399,-0.305
5,0.065,496,0.4,135,0.109,0.004,-0.291
6,0.078,498,0.401,146,0.118,0.00401,-0.283
7,0.091,503,0.405,160,0.129,0.00405,-0.276
8,0.104,509,0.41,181,0.146,0.0041,-0.264
9,0.116,515,0.415,192,0.155,0.00415,-0.26
10,0.129,518,0.417,208,0.168,0.00417,-0.249
11,0.142,525,0.423,221,0.178,0.00423,-0.245
12,0.155,528,0.425,235,0.189,0.00425,-0.236
13,0.168,528,0.425,250,0.201,0.00425,-0.224
14,0.181,531,0.428,269,0.217,0.00428,-0.211
15,0.194,537,0.433,281,0.226,0.00433,-0.207
16,0.207,539,0.434,300,0.242,0.00434,-0.192
17,0.22,544,0.438,314,0.253,0.00438,-0.185
18,0.233,546,0.44,327,0.264,0.0044,-0.176
19,0.246,551,0.444,339,0.273,0.00444,-0.171
20,0.259,554,0.446,354,0.285,0.00446,-0.161
21,0.272,559,0.45,371,0.299,0.0045,-0.151
22,0.285,560,0.451,384,0.309,0.00451,-0.142
23,0.298,562,0.453,400,0.322,0.00453,-0.131
24,0.311,568,0.458,415,0.334,0.00458,-0.124
25,0.324,571,0.46,429,0.346,0.0046,-0.114
26,0.336,574,0.463,442,0.356,0.00463,-0.107
27,0.349,576,0.464,458,0.369,0.00464,-0.095
28,0.362,579,0.467,475,0.383,0.00467,-0.084
29,0.375,583,0.47,489,0.394,0.0047,-0.076
30,0.388,587,0.473,501,0.404,0.00473,-0.069
31,0.401,592,0.477,521,0.42,0.00477,-0.057
32,0.414,592,0.477,543,0.438,0.00477,-0.039
33,0.427,593,0.478,555,0.447,0.00478,-0.031
34,0.44,597,0.481,573,0.462,0.00481,-0.019
35,0.453,603,0.486,589,0.475,0.00486,-0.011
36,0.466,607,0.489,598,0.482,0.00489,-0.007
37,0.479,608,0.49,618,0.498,0.0049,0.008
38,0.492,611,0.492,629,0.507,0.00492,0.015
39,0.505,617,0.497,643,0.518,0.00497,0.021
40,0.518,620,0.5,658,0.53,0.005,0.03
41,0.531,622,0.501,673,0.542,0.00501,0.041
42,0.544,624,0.503,688,0.554,0.00503,0.051
43,0.556,627,0.505,704,0.567,0.00505,0.062
44,0.569,631,0.508,721,0.581,0.00508,0.073
45,0.582,635,0.512,736,0.593,0.00512,0.081
46,0.595,639,0.515,751,0.605,0.00515,0.09
47,0.608,640,0.516,766,0.617,0.00516,0.101
48,0.621,642,0.517,782,0.63,0.00517,0.113
49,0.634,647,0.521,790,0.637,0.00521,0.116
50,0.647,647,0.521,805,0.649,0.00521,0.128
51,0.66,655,0.528,823,0.663,0.00528,0.135
52,0.673,656,0.529,841,0.678,0.00529,0.149
53,0.686,657,0.529,852,0.687,0.00529,0.158
54,0.699,661,0.533,869,0.7,0.00533,0.167
55,0.712,665,0.536,883,0.712,0.00536,0.176
56,0.725,667,0.538,896,0.722,0.00538,0.184
57,0.738,672,0.542,912,0.735,0.00542,0.193
58,0.751,674,0.543,928,0.748,0.00543,0.205
59,0.764,678,0.546,944,0.761,0.00546,0.215
60,0.776,679,0.547,958,0.772,0.00547,0.225
61,0.789,685,0.552,975,0.786,0.00552,0.234
62,0.802,687,0.554,987,0.795,0.00554,0.241
63,0.815,690,0.556,1005,0.81,0.00556,0.254
64,0.828,691,0.557,1015,0.818,0.00557,0.261
65,0.841,695,0.56,1037,0.836,0.0056,0.276
66,0.854,698,0.562,1050,0.846,0.00562,0.284
67,0.867,702,0.566,1068,0.861,0.00566,0.295
68,0.88,704,0.567,1077,0.868,0.00567,0.301
69,0.893,707,0.57,1099,0.886,0.0057,0.316
70,0.906,709,0.571,1109,0.894,0.00571,0.323
71,0.919,712,0.574,1123,0.905,0.00574,0.331
72,0.932,719,0.579,1138,0.917,0.00579,0.338
73,0.945,720,0.58,1159,0.934,0.0058,0.354
74,0.958,720,0.58,1171,0.944,0.0058,0.364
75,0.971,724,0.583,1193,0.961,0.00583,0.378
76,0.984,726,0.585,1202,0.969,0.00585,0.384
77,0.996,730,0.588,1216,0.98,0.00588,0.392
78,1.009,735,0.592,1237,0.997,0.00592,0.405
79,1.022,738,0.595,1251,1.008,0.00595,0.413
80,1.035,739,0.596,1258,1.014,0.00596,0.418
81,1.048,742,0.598,1279,1.031,0.00598,0.433
82,1.061,746,0.601,1291,1.04,0.00601,0.439
83,1.074,750,0.604,1306,1.052,0.00604,0.448
84,1.087,752,0.606,1322,1.065,0.00606,0.459
85,1.1,754,0.608,1335,1.076,0.00608,0.468
86,1.113,755,0.608,1353,1.09,0.00608,0.482
87,1.126,759,0.612,1369,1.103,0.00612,0.491
88,1.139,765,0.616,1383,1.115,0.00616,0.499
89,1.152,768,0.619,1395,1.124,0.00619,0.505
90,1.165,769,0.62,1415,1.14,0.0062,0.52
91,1.178,773,0.623,1425,1.148,0.00623,0.525
92,1.191,774,0.624,1440,1.16,0.00624,0.536
93,1.204,782,0.63,1458,1.175,0.0063,0.545
94,1.216,784,0.632,1474,1.188,0.00632,0.556
95,1.229,785,0.633,1488,1.199,0.00633,0.566
96,1.242,789,0.636,1510,1.217,0.00636,0.581
97,1.255,790,0.637,1523,1.227,0.00637,0.59
98,1.268,795,0.641,1535,1.237,0.00641,0.596
99,1.281,798,0.643,1553,1.252,0.00643,0.609
100,1.294,800,0.645,1572,1.267,0.00645,0.622
101,1.307,805,0.649,1584,1.276,0.00649,0.627
102,1.32,807,0.65,1600,1.289,0.0065,0.639
103,1.333,809,0.652,1616,1.302,0.00652,0.65
104,1.346,814,0.656,1627,1.311,0.00656,0.655
105,1.359,816,0.658,1647,1.327,0.00658,0.669
106,1.372,817,0.658,1662,1.339,0.00658,0.681
107,1.385,821,0.662,1676,1.351,0.00662,0.689
108,1.398,823,0.663,1692,1.364,0.00663,0.701
109,1.411,829,0.668,1708,1.376,0.00668,0.708
110,1.424,830,0.669,1723,1.388,0.00669,0.719
111,1.436,834,0.672,1737,1.4,0.00672,0.728
112,1.449,836,0.674,1750,1.41,0.00674,0.736
113,1.462,839,0.676,1766,1.423,0.00676,0.747
114,1.475,841,0.678,1777,1.432,0.00678,0.754
115,1.488,846,0.682,1793,1.445,0.00682,0.763
116,1.501,848,0.683,1809,1.458,0.00683,0.775
117,1.514,849,0.684,1829,1.474,0.00684,0.79
118,1.527,853,0.687,1840,1.483,0.00687,0.796
119,1.54,855,0.689,1853,1.493,0.00689,0.804
120,1.553,859,0.692,1870,1.507,0.00692,0.815
121,1.566,863,0.695,1885,1.519,0.00695,0.824
122,1.579,865,0.697,1902,1.533,0.00697,0.836
123,1.592,868,0.699,1916,1.544,0.00699,0.845
124,1.605,873,0.704,1933,1.558,0.00704,0.854
125,1.618,878,0.708,1941,1.564,0.00708,0.856
126,1.631,880,0.709,1959,1.579,0.00709,0.87
127,1.644,880,0.709,1977,1.593,0.00709,0.884
128,1.656,884,0.712,2006,1.617,0.00712,0.905
129,1.669,891,0.718,2020,1.628,0.00718,0.91
130,1.682,893,0.72,2036,1.641,0.0072,0.921
131,1.695,896,0.722,2059,1.659,0.00722,0.937
132,1.708,901,0.726,2071,1.669,0.00726,0.943
133,1.721,902,0.727,2089,1.683,0.00727,0.956
134,1.734,905,0.729,2096,1.689,0.00729,0.96
135,1.747,909,0.733,2113,1.703,0.00733,0.97
136,1.76,910,0.733,2129,1.716,0.00733,0.983
137,1.773,912,0.735,2146,1.729,0.00735,0.994
138,1.786,915,0.737,2160,1.741,0.00737,1.004
139,1.799,918,0.74,2177,1.754,0.0074,1.014
140,1.812,919,0.741,2192,1.766,0.00741,1.025
141,1.825,926,0.746,2208,1.779,0.00746,1.033
142,1.838,929,0.749,2224,1.792,0.00749,1.043
143,1.851,931,0.75,2239,1.804,0.0075,1.054
144,1.864,932,0.751,2247,1.811,0.00751,1.06
145,1.876,937,0.755,2261,1.822,0.00755,1.067
146,1.889,939,0.757,2278,1.836,0.00757,1.079
147,1.902,944,0.761,2290,1.845,0.00761,1.084
148,1.915,944,0.761,2306,1.858,0.00761,1.097
149,1.928,948,0.764,2322,1.871,0.00764,1.107
150,1.941,951,0.766,2340,1.886,0.00766,1.12
151,1.954,955,0.77,2353,1.896,0.0077,1.126
152,1.967,958,0.772,2368,1.908,0.00772,1.136
153,1.98,960,0.774,2379,1.917,0.00774,1.143
154,1.993,962,0.775,2398,1.932,0.00775,1.157
155,2.006,966,0.778,2413,1.945,0.00778,1.167
156,2.019,971,0.782,2426,1.955,0.00782,1.173
157,2.032,973,0.784,2441,1.967,0.00784,1.183
158,2.045,975,0.786,2454,1.978,0.00786,1.192
159,2.058,978,0.788,2475,1.995,0.00788,1.207
160,2.071,980,0.79,2491,2.007,0.0079,1.217
161,2.084,981,0.791,2503,2.017,0.00791,1.226
162,2.096,986,0.795,2523,2.033,0.00795,1.238
163,2.109,991,0.799,2534,2.042,0.00799,1.243
164,2.122,992,0.799,2547,2.053,0.00799,1.254
165,2.135,995,0.802,2567,2.069,0.00802,1.267
166,2.148,998,0.804,2583,2.082,0.00804,1.278
167,2.161,1003,0.808,2605,2.099,0.00808,1.291
168,2.174,1006,0.811,2615,2.107,0.00811,1.296
169,2.187,1008,0.812,2631,2.12,0.00812,1.308
170,2.2,1009,0.813,2644,2.131,0.00813,1.318
171,2.213,1013,0.816,2663,2.146,0.00816,1.33
172,2.226,1015,0.818,2675,2.156,0.00818,1.338
173,2.239,1018,0.82,2695,2.172,0.0082,1.352
174,2.252,1021,0.823,2705,2.18,0.00823,1.357
175,2.265,1033,0.832,2724,2.195,0.00832,1.363
176,2.278,1031,0.831,2736,2.205,0.00831,1.374
177,2.291,1035,0.834,2751,2.217,0.00834,1.383
178,2.304,1039,0.837,2768,2.231,0.00837,1.394
179,2.316,1040,0.838,2783,2.243,0.00838,1.405
180,2.329,1042,0.84,2800,2.256,0.0084,1.416
181,2.342,1045,0.842,2814,2.268,0.00842,1.426
182,2.355,1047,0.844,2827,2.278,0.00844,1.434
183,2.368,1052,0.848,2846,2.293,0.00848,1.445
184,2.381,1056,0.851,2864,2.308,0.00851,1.457
185,2.394,1058,0.853,2879,2.32,0.00853,1.467
186,2.407,1062,0.856,2895,2.333,0.00856,1.477
187,2.42,1065,0.858,2907,2.343,0.00858,1.485
188,2.433,1070,0.862,2929,2.36,0.00862,1.498
189,2.446,1071,0.863,2942,2.371,0.00863,1.508
190,2.459,1073,0.865,2960,2.385,0.00865,1.52
191,2.472,1075,0.866,2974,2.397,0.00866,1.531
192,2.485,1077,0.868,2987,2.407,0.00868,1.539
193,2.498,1082,0.872,3002,2.419,0.00872,1.547
194,2.511,1083,0.873,3023,2.436,0.00873,1.563
195,2.524,1087,0.876,3035,2.446,0.00876,1.57
196,2.536,1088,0.877,3056,2.463,0.00877,1.586
197,2.549,1091,0.879,3071,2.475,0.00879,1.596
198,2.562,1094,0.882,3092,2.492,0.00882,1.61
199,2.575,1099,0.886,3113,2.509,0.00886,1.623
200,2.588,1102,0.888,3127,2.52,0.00888,1.632
201,2.601,1104,0.89,3146,2.535,0.0089,1.645
202,2.614,1104,0.89,3162,2.548,0.0089,1.658
203,2.627,1106,0.891,3183,2.565,0.00891,1.674
204,2.64,1109,0.894,3201,2.58,0.00894,1.686
205,2.653,1115,0.899,3216,2.592,0.00899,1.693
206,2.666,1118,0.901,3241,2.612,0.00901,1.711
207,2.679,1121,0.903,3259,2.626,0.00903,1.723
208,2.692,1123,0.905,3273,2.638,0.00905,1.733
209,2.705,1125,0.907,3294,2.655,0.00907,1.748
210,2.718,1131,0.911,3312,2.669,0.00911,1.758
211,2.731,1133,0.913,3335,2.688,0.00913,1.775
212,2.744,1136,0.915,3355,2.704,0.00915,1.789
213,2.756,1136,0.915,3377,2.721,0.00915,1.806
214,2.769,1139,0.918,3395,2.736,0.00918,1.818
215,2.782,1143,0.921,3422,2.758,0.00921,1.837
216,2.795,1145,0.923,3440,2.772,0.00923,1.849
217,2.808,1148,0.925,3462,2.79,0.00925,1.865
218,2.821,1151,0.928,3485,2.808,0.00928,1.88
219,2.834,1154,0.93,3506,2.825,0.0093,1.895
220,2.847,1157,0.932,3531,2.845,0.00932,1.913
221,2.86,1158,0.933,3552,2.862,0.00933,1.929
222,2.873,1162,0.936,3568,2.875,0.00936,1.939
223,2.886,1166,0.94,3610,2.909,0.0094,1.969
224,2.899,1168,0.941,3637,2.931,0.00941,1.99
225,2.912,1170,0.943,3658,2.948,0.00943,2.005
226,2.925,1173,0.945,3682,2.967,0.00945,2.022
227,2.938,1178,0.949,3703,2.984,0.00949,2.035
228,2.951,1181,0.952,3734,3.009,0.00952,2.057
229,2.964,1183,0.953,3760,3.03,0.00953,2.077
230,2.976,1187,0.957,3784,3.049,0.00957,2.092
231,2.989,1190,0.959,3808,3.069,0.00959,2.11
232,3.002,1195,0.963,3831,3.087,0.00963,2.124
233,3.015,1197,0.965,3865,3.115,0.00965,2.15
234,3.028,1199,0.966,3894,3.138,0.00966,2.172
235,3.041,1200,0.967,3919,3.158,0.00967,2.191
236,3.054,1201,0.968,3949,3.182,0.00968,2.214
237,3.067,1205,0.971,3978,3.206,0.00971,2.235
238,3.08,1209,0.974,4006,3.228,0.00974,2.254
239,3.093,1211,0.976,4037,3.253,0.00976,2.277
240,3.106,1214,0.978,4055,3.268,0.00978,2.29
241,3.119,1216,0.98,4083,3.29,0.0098,2.31
242,3.132,1218,0.982,4095,3.3,0.00982,2.318
243,3.145,1222,0.985,4095,3.3,0.00985,2.315
244,3.158,1227,0.989,4095,3.3,0.00989,2.311
245,3.171,1229,0.99,4095,3.3,0.0099,2.31
246,3.184,1232,0.993,4095,3.3,0.00993,2.307
247,3.196,1233,0.994,4095,3.3,0.00994,2.306
248,3.209,1235,0.995,4095,3.3,0.00995,2.305
249,3.222,1239,0.998,4095,3.3,0.00998,2.302
250,3.235,1242,1.001,4095,3.3,0.01001,2.299
251,3.248,1245,1.003,4095,3.3,0.01003,2.297
252,3.261,1249,1.007,4095,3.3,0.01007,2.293
253,3.274,1250,1.007,4095,3.3,0.01007,2.293
254,3.287,1253,1.01,4095,3.3,0.0101,2.29
255,3.3,1255,1.011,4095,3.3,0.01011,2.289
